station,browse_name,node_class,value_type,value,node_id,path
(root),SecurityMode,Variable,int,1,ns=1;s=Session_3317533669.SessionSecurityDiagnostics.SecurityMode,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),SecurityPolicyUri,Variable,string,http://opcfoundation.org/UA/SecurityPolicy#None,ns=1;s=Session_3317533669.SessionSecurityDiagnostics.SecurityPolicyUri,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),ClientCertificate,Variable,string,None,ns=1;s=Session_3317533669.SessionSecurityDiagnostics.ClientCertificate,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),SessionId,Variable,string,"NodeId(Identifier=1478913255, NamespaceIndex=1, NodeIdType=<NodeIdType.Numeric: 2>)",ns=1;s=Session_1478913255.SessionSecurityDiagnostics.SessionId,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),ClientUserIdOfSession,Variable,string,None,ns=1;s=Session_1478913255.SessionSecurityDiagnostics.ClientUserIdOfSession,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),ClientUserIdHistory,Variable,string,[None],ns=1;s=Session_1478913255.SessionSecurityDiagnostics.ClientUserIdHistory,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),AuthenticationMechanism,Variable,string,Anonymous,ns=1;s=Session_1478913255.SessionSecurityDiagnostics.AuthenticationMechanism,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),Encoding,Variable,string,UA Binary,ns=1;s=Session_1478913255.SessionSecurityDiagnostics.Encoding,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),TransportProtocol,Variable,string,TCP,ns=1;s=Session_1478913255.SessionSecurityDiagnostics.TransportProtocol,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),SecurityMode,Variable,int,1,ns=1;s=Session_1478913255.SessionSecurityDiagnostics.SecurityMode,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),SecurityPolicyUri,Variable,string,http://opcfoundation.org/UA/SecurityPolicy#None,ns=1;s=Session_1478913255.SessionSecurityDiagnostics.SecurityPolicyUri,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),ClientCertificate,Variable,string,None,ns=1;s=Session_1478913255.SessionSecurityDiagnostics.ClientCertificate,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Pure Python Async Client Session1/SessionSecurityDiagnostics
(root),SessionSecurityDiagnostics,Variable,string,"<err Not enough data left in buffer, request for 1426063360, we have 1168>",ns=1;s=Session_3783273336.SessionSecurityDiagnostics,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1
(root),SubscriptionDiagnosticsArray,Variable,string,"[SubscriptionDiagnosticsDataType(SessionId=NodeId(Identifier=3783273336, NamespaceIndex=1, NodeIdType=<NodeIdType.Num...",ns=1;s=Session_3783273336.SubscriptionDiagnosticsArray,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1
(root),SessionId,Variable,string,"NodeId(Identifier=3783273336, NamespaceIndex=1, NodeIdType=<NodeIdType.Numeric: 2>)",ns=1;s=Session_3783273336.SessionSecurityDiagnostics.SessionId,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SessionSecurityDiagnostics
(root),ClientUserIdOfSession,Variable,string,None,ns=1;s=Session_3783273336.SessionSecurityDiagnostics.ClientUserIdOfSession,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SessionSecurityDiagnostics
(root),ClientUserIdHistory,Variable,string,[None],ns=1;s=Session_3783273336.SessionSecurityDiagnostics.ClientUserIdHistory,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SessionSecurityDiagnostics
(root),AuthenticationMechanism,Variable,string,Anonymous,ns=1;s=Session_3783273336.SessionSecurityDiagnostics.AuthenticationMechanism,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SessionSecurityDiagnostics
